INFO 2024-11-12 13:42:02,670 Watching for file changes with StatReloader
INFO 2024-11-12 13:42:11,217 "GET / HTTP/1.1" 302 0
INFO 2024-11-12 13:42:11,259 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-11-12 13:42:11,401 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58578
INFO 2024-11-12 13:42:11,402 "GET /static/dist/css/login-page.css HTTP/1.1" 200 8610
INFO 2024-11-12 13:42:11,412 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13632
INFO 2024-11-12 13:42:11,442 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2024-11-12 13:42:11,444 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2024-11-12 13:42:11,450 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19724
INFO 2024-11-12 13:42:11,451 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5251
INFO 2024-11-12 13:42:11,460 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88145
INFO 2024-11-12 13:42:11,476 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80698
INFO 2024-11-12 13:42:11,477 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42383
INFO 2024-11-12 13:42:11,478 "GET /static/dist/js/demo.js HTTP/1.1" 200 12616
INFO 2024-11-12 13:42:11,481 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 57530
INFO 2024-11-12 13:42:11,491 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686707
INFO 2024-11-12 13:42:11,948 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2024-11-12 13:42:12,408 Not Found: /favicon.ico
WARNING 2024-11-12 13:42:12,408 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2024-11-12 13:42:39,174 "POST /accounts/login/ HTTP/1.1" 200 4106
INFO 2024-11-12 13:43:10,561 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2024-11-12 13:43:10,731 "GET / HTTP/1.1" 200 9290
INFO 2024-11-12 13:43:10,842 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25780
INFO 2024-11-12 13:43:10,914 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042446
INFO 2024-11-12 13:43:10,952 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2024-11-12 13:43:27,487 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-11-12 13:43:30,828 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2024-11-12 13:43:49,332 "GET / HTTP/1.1" 200 9290
INFO 2024-11-12 13:43:54,092 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2024-11-12 13:44:18,534 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2024-11-12 13:44:18,575 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-11-12 13:44:18,576 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-11-12 13:44:18,576 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-11-12 13:44:18,577 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-11-12 13:44:18,577 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-11-12 13:44:18,578 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-11-12 13:44:18,582 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-11-12 13:44:18,583 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-11-12 13:44:18,588 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-11-12 13:44:18,588 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-11-12 13:44:18,588 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-11-12 13:44:22,355 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2024-11-12 13:44:24,295 "GET /result/edit-results/ HTTP/1.1" 200 10104
INFO 2024-11-12 13:44:25,730 "GET /result/view/all HTTP/1.1" 200 8834
INFO 2024-11-12 13:44:27,134 "GET /site-config HTTP/1.1" 200 10862
INFO 2024-11-12 13:45:57,201 "POST /site-config HTTP/1.1" 200 10894
INFO 2024-11-12 13:45:57,220 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
